,electrical_baseload_households,thermal_energy_demand_households,electrical_baseload_business,thermal_energy_demand_business,electrical_baseload,thermal_energy_demand,pv_gen_PV_1,hp_cop_HP_Ground,hp_cop_HP_Air,price_el,co2_el,cost,co2,grid_generator_kW,natural_gas_generator_kW,district_heating_generator_kW,grid_feed-in_kW,PV_1_pv_generator_kW,electrical_load_kW,thermal_load_kW,battery_storage_kW,DRL_overflow_kW,grid_demand_link_p0_kW,grid_feed-in_link_p0_kW,battery_charge_p0_kW,battery_discharge_p0_kW,HP_Ground_heat_pump_p0_kW,HP_Air_heat_pump_p0_kW,DRL_overflow_link_bat_charge_p0_kW,DRL_overflow_link_bat_discharge_p0_kW,grid_demand_link_p1_kW,grid_feed-in_link_p1_kW,battery_charge_p1_kW,battery_discharge_p1_kW,HP_Ground_heat_pump_p1_kW,HP_Air_heat_pump_p1_kW,DRL_overflow_link_bat_charge_p1_kW,DRL_overflow_link_bat_discharge_p1_kW,battery_storage_kWh,DRL_overflow_kWh
2015-10-16 04:00:00,0.73860384443301,3.014398865040251,0.69559881052603,1.0149471119904896,1.4342026549590399,4.02934597703074,0.0,2.7877862016,2.096197312,19.876569999999997,401.47,511.22319168532334,10325.764192006307,102.87955953875813,-0.0,-0.0,0.0,-0.0,1.4342026549590399,4.02934597703074,-98.0,0.0,102.87955953875813,-0.0,100.0,-0.0,1.4453568837981297,-0.0,-0.0,-0.0,-102.87955953875813,0.0,-98.0,0.0,-4.02934597704,0.0,0.0,0.0,120.00043350091599,1000000.0
2015-10-16 04:15:00,0.803404181718765,3.376126728845081,0.7167987742741,1.1367407654293484,1.5202029559928651,4.512867494274429,0.0,2.7872594299499998,2.09580327775,19.876569999999997,401.47,512.5139218204129,10351.834556628291,103.13930860715162,-0.0,-0.0,0.0,-0.0,1.5202029559928651,4.512867494274429,-98.0,0.0,103.13930860715162,-0.0,100.0,-0.0,1.619105651159625,-0.0,-0.0,-0.0,-103.13930860715162,0.0,-98.0,0.0,-4.512867494279999,0.0,0.0,0.0,144.5003135004825,1000000.0
2015-10-16 04:30:00,0.88800462206406,3.737854592649911,0.77479867509427,1.258534418868207,1.66280329715833,4.996389011518118,0.0,2.7867326583,2.0954092435000002,19.876569999999997,401.47,514.0862320280465,10383.592318609293,103.4557234025884,-0.0,-0.0,0.0,-0.0,1.66280329715833,4.996389011518118,-98.0,0.0,103.4557234025884,-0.0,100.0,-0.0,1.7929201054283994,-0.0,-0.0,-0.0,-103.4557234025884,0.0,-98.0,0.0,-4.99638901152,0.0,0.0,0.0,169.000169000169,1000000.0
2015-10-16 04:45:00,0.9978051935760299,4.0995824564547405,0.87679850067456,1.3803280723070657,1.87460369425059,5.479910528761806,0.0,2.78620588665,2.0950152092500005,19.876569999999997,401.47,516.0027337673132,10422.302113773316,103.84140397811358,-0.0,-0.0,0.0,-0.0,1.87460369425059,5.479910528761806,-98.0,0.0,103.84140397811358,-0.0,100.0,-0.0,1.9668002838615708,-0.0,-0.0,-0.0,-103.84140397811358,0.0,-98.0,0.0,-5.47991052876,0.0,0.0,0.0,193.5,1000000.0
2015-10-16 05:00:00,1.1340059025007199,4.461310320259571,1.01359826674696,1.5021217257459245,2.14760416924768,5.9634320460054955,0.0,2.7856791149999998,2.0946211750000003,20.34067,412.47,21.806980047057372,442.2039716493978,4.288350392992438,-0.0,-0.0,0.0,-0.0,2.14760416924768,5.9634320460054955,2.2737367544323206e-13,0.0,4.288350392992438,-0.0,-0.0,-0.0,2.1407462237444386,-0.0,-0.0,-0.0,-4.288350392992438,0.0,0.0,0.0,-5.963432045999999,0.0,0.0,0.0,193.49980649999995,1000000.0
2015-10-16 05:15:00,1.28580669262383,4.778981585267659,1.16799800272342,1.6090815367787683,2.45380469534725,6.388063122046427,0.0,2.78585466885,2.09475248825,20.34067,412.47,24.138476518950146,489.48227417146865,4.7468400045721495,-0.0,-0.0,0.0,-0.0,2.45380469534725,6.388063122046427,0.0,0.0,4.7468400045721495,-0.0,-0.0,-0.0,2.2930353092241496,-0.0,-0.0,-0.0,-4.7468400045721495,0.0,0.0,0.0,-6.38806312204,0.0,0.0,0.0,193.49961300019345,1000000.0
2015-10-16 05:30:00,1.442407507731075,5.096652850275747,1.3239977359638702,1.7160413478116123,2.766405243694945,6.812694198087359,0.0,2.7860302227,2.0948838015,20.34067,412.47,26.514469302311763,537.662877040163,5.2140798316499435,-0.0,-0.0,0.0,-0.0,2.766405243694945,6.812694198087359,-0.0023219976782229423,0.0,5.2140798316499435,-0.0,0.002369385385941778,-0.0,2.445305202568002,-0.0,-0.0,-0.0,-5.2140798316499435,0.0,-0.0023219976782229423,0.0,-6.81269419808,0.0,0.0,0.0,193.5,1000000.0
2015-10-16 05:45:00,1.5948083009772,5.414324115283835,1.46559749382829,1.8230011588444563,3.06040579480549,7.237325274128291,0.0,2.7862057765499997,2.09501511475,25.148269999999997,412.47,35.57695263444509,583.5163076080212,5.658751498126129,-0.0,-0.0,0.0,-0.0,3.06040579480549,7.237325274128291,-0.0007739999999785141,0.0,5.658751498126129,-0.0,0.0007897959183454225,-0.0,2.597555907403784,-0.0,-0.0,-0.0,-5.658751498126129,0.0,-0.0007739999999785141,0.0,-7.237325274119999,0.0,0.0,0.0,193.5,1000000.0
2015-10-16 06:00:00,1.732209016147935,5.731995380291923,1.58879728315665,1.9299609698773001,3.3210062993045852,7.661956350169223,0.0,2.7863813304,2.0951464279999996,30.062969999999996,406.09,45.62652242020973,616.3221561150801,6.070793726662367,-0.0,-0.0,0.0,-0.0,3.3210062993045852,7.661956350169223,0.0,0.0,6.070793726662367,-0.0,-0.0,-0.0,2.749787427358367,-0.0,-0.0,-0.0,-6.070793726662367,0.0,0.0,0.0,-7.661956350159999,0.0,0.0,0.0,193.4998065,1000000.0
2015-10-16 06:15:00,1.854009650120235,5.641563414340715,1.68719711489293,1.8995125565175854,3.5412067650131647,7.541075970858301,0.0,2.78515322415,2.0942278967499997,30.062969999999996,406.09,46.96440935847996,634.394306230726,6.2488050060895475,-0.0,-0.0,0.0,-0.0,3.5412067650131647,7.541075970858301,0.0,0.0,6.2488050060895475,-0.0,-0.0,-0.0,2.707598241077547,-0.0,-0.0,-0.0,-6.2488050060895475,0.0,0.0,0.0,-7.54107597084,0.0,0.0,0.0,193.4996130001935,1000000.0
